INSERT INTO mediciones (timestamp, temperatura, humedad, radiacion_uv, ruido_db, calidad_aire) VALUES
('2025-12-01T08:53:54', 15.45, 89.35, 9.05, 51.77, 232.40),
('2025-12-01T10:50:26', 8.28, 89.29, 7.23, 65.96, 170.38),
('2025-12-01T23:06:33', 6.62, 88.96, 11.78, 44.31, 249.38),
('2025-12-01T06:53:43', 6.12, 79.55, 8.45, 46.16, 307.22),
('2025-12-01T09:21:13', 27.35, 21.12, 0.92, 72.43, 353.49),
('2025-12-02T06:25:17', 14.69, 37.84, 6.44, 48.48, 66.69),
('2025-12-02T13:16:45', 16.04, 72.13, 4.06, 67.34, 221.85),
('2025-12-02T15:34:34', 25.25, 56.79, 4.91, 48.46, 255.97),
('2025-12-02T18:54:34', 15.38, 43.05, 10.83, 47.17, 399.63),
('2025-12-02T18:57:53', 27.02, 57.35, 9.84, 42.93, 169.17),
('2025-12-03T01:27:11', 20.78, 29.16, 5.03, 32.55, 98.74),
('2025-12-03T01:51:27', 6.28, 78.53, 8.80, 74.58, 319.33),
('2025-12-03T09:46:34', 25.80, 26.29, 3.00, 65.93, 241.08),
('2025-12-03T10:37:34', 16.57, 67.35, 3.60, 44.89, 254.09),
('2025-12-03T18:32:28', 6.46, 66.82, 7.17, 43.56, 151.74),
('2025-12-03T21:24:16', 7.55, 64.80, 1.71, 47.72, 185.29),
('2025-12-04T12:03:33', 19.74, 49.44, 9.85, 48.26, 165.65),
('2025-12-04T12:30:34', 14.11, 50.03, 8.07, 49.10, 224.29),
('2025-12-04T14:27:57', 5.12, 48.43, 9.02, 67.37, 355.01),
('2025-12-05T03:56:48', 29.16, 46.58, 8.37, 47.33, 141.17),
('2025-12-05T08:15:51', 6.09, 40.59, 3.01, 31.08, 268.93),
('2025-12-05T19:58:31', 34.29, 33.03, 5.43, 65.92, 198.74),
('2025-12-06T14:22:05', 11.22, 39.88, 2.27, 67.48, 243.54),
('2025-12-06T21:00:40', 13.92, 68.49, 11.85, 33.09, 394.70),
('2025-12-07T03:09:00', 28.21, 36.45, 0.10, 40.35, 85.14),
('2025-12-07T03:53:49', 31.96, 24.50, 2.84, 66.96, 323.80),
('2025-12-07T07:15:24', 28.57, 30.89, 3.84, 78.39, 367.23),
('2025-12-07T12:52:13', 25.38, 23.84, 10.48, 32.67, 269.43),
('2025-12-08T05:04:16', 30.57, 35.39, 6.65, 27.20, 389.67),
('2025-12-08T12:35:25', 26.74, 41.58, 11.61, 35.39, 286.96),
('2025-12-08T18:38:45', 21.38, 65.18, 11.29, 72.48, 174.68),
('2025-12-09T04:32:37', 27.09, 42.49, 3.94, 27.35, 252.03),
('2025-12-09T20:14:30', 19.50, 25.22, 4.51, 67.54, 357.79),
('2025-12-10T02:16:59', 22.58, 43.62, 3.66, 29.93, 234.78),
('2025-12-10T14:26:56', 7.77, 89.53, 8.65, 53.45, 302.76),
('2025-12-11T01:54:01', 19.31, 89.19, 4.80, 76.37, 316.87),
('2025-12-11T08:45:49', 20.83, 51.19, 8.90, 39.23, 62.64),
('2025-12-11T11:31:25', 33.84, 40.84, 6.54, 53.87, 183.22),
('2025-12-11T12:36:34', 14.15, 61.51, 10.81, 54.85, 208.84),
('2025-12-11T12:58:04', 19.47, 76.16, 10.22, 56.74, 339.57),
('2025-12-11T16:03:28', 18.85, 34.15, 5.11, 72.70, 133.25),
('2025-12-11T23:06:43', 34.62, 71.83, 4.29, 46.42, 344.49),
('2025-12-11T23:44:09', 13.06, 44.40, 3.10, 49.67, 230.02),
('2025-12-12T01:48:58', 32.28, 72.50, 10.85, 52.14, 126.17),
('2025-12-12T02:54:42', 28.46, 34.75, 5.34, 46.32, 227.44),
('2025-12-12T09:54:25', 10.13, 45.86, 1.37, 46.97, 62.74),
('2025-12-12T10:05:10', 12.01, 50.30, 10.64, 76.50, 275.61),
('2025-12-12T16:40:04', 12.46, 75.38, 3.58, 28.56, 108.55),
('2025-12-13T01:21:12', 9.60, 30.03, 1.19, 39.72, 103.37),
('2025-12-13T14:48:38', 10.92, 56.84, 5.65, 44.59, 50.23),
('2025-12-13T20:43:02', 13.17, 71.31, 11.01, 34.65, 127.43),
('2025-12-14T00:29:20', 6.41, 31.54, 4.71, 64.24, 79.81),
('2025-12-14T13:07:07', 9.36, 20.53, 11.05, 59.90, 351.37),
('2025-12-14T16:08:24', 22.47, 38.53, 1.07, 37.56, 246.36),
('2025-12-15T22:57:51', 7.58, 66.86, 1.07, 29.24, 133.89),
('2025-12-16T02:12:22', 25.47, 20.71, 1.83, 62.54, 152.41),
('2025-12-16T03:21:56', 26.78, 27.81, 4.74, 54.35, 195.35),
('2025-12-16T11:23:00', 28.16, 31.19, 3.18, 76.75, 184.62),
('2025-12-17T00:25:53', 17.65, 53.08, 7.04, 55.98, 334.98),
('2025-12-17T07:39:39', 16.33, 58.32, 0.64, 54.29, 181.42),
('2025-12-17T07:49:25', 22.43, 68.19, 0.39, 60.92, 127.79),
('2025-12-18T00:29:06', 20.36, 44.78, 7.22, 54.25, 306.00),
('2025-12-18T02:53:50', 20.97, 56.38, 3.56, 64.66, 373.82),
('2025-12-18T04:18:01', 27.96, 32.20, 7.41, 70.81, 188.01),
('2025-12-18T22:39:03', 32.80, 38.28, 7.10, 66.09, 161.31),
('2025-12-01 02:00:00+01', 7.20, 85.10, 0.00, 32.40, 10.50),
('2025-12-01 08:00:00+01', 8.50, 78.20, 0.10, 65.20, 18.30),
('2025-12-01 14:00:00+01', 14.30, 62.50, 3.20, 58.10, 22.10),
('2025-12-01 20:00:00+01', 10.10, 74.30, 0.00, 48.50, 15.60),
('2025-12-02 02:00:00+01', 6.80, 88.40, 0.00, 30.20, 11.20),
('2025-12-02 08:00:00+01', 7.90, 82.10, 0.10, 72.40, 19.50),
('2025-12-02 14:00:00+01', 13.50, 65.40, 2.80, 60.30, 25.40),
('2025-12-02 20:00:00+01', 9.50, 76.80, 0.00, 50.10, 14.80),
('2025-12-03 02:00:00+01', 5.40, 90.20, 0.00, 31.50, 9.80),
('2025-12-03 08:00:00+01', 6.20, 84.50, 0.10, 68.20, 17.40),
('2025-12-03 14:00:00+01', 12.10, 68.30, 1.50, 55.40, 30.10),
('2025-12-03 20:00:00+01', 8.40, 79.20, 0.00, 45.30, 12.90),
('2025-12-04 02:00:00+01', 4.80, 92.10, 0.00, 28.50, 8.50),
('2025-12-04 08:00:00+01', 5.90, 85.30, 0.10, 70.10, 22.30),
('2025-12-04 14:00:00+01', 11.80, 60.10, 4.10, 62.50, 28.40),
('2025-12-04 20:00:00+01', 7.20, 75.40, 0.00, 42.10, 16.50),
('2025-12-05 02:00:00+01', 3.50, 94.20, 0.00, 29.40, 7.20),
('2025-12-05 08:00:00+01', 5.10, 88.50, 0.20, 66.40, 15.40),
('2025-12-05 14:00:00+01', 14.50, 55.20, 4.80, 59.20, 20.10),
('2025-12-05 20:00:00+01', 9.20, 70.10, 0.00, 44.20, 12.30),
('2025-12-06 02:00:00+01', 6.10, 82.40, 0.00, 35.20, 10.40),
('2025-12-06 08:00:00+01', 8.20, 75.30, 0.30, 45.10, 14.50),
('2025-12-06 14:00:00+01', 15.20, 50.40, 3.50, 48.20, 18.20),
('2025-12-06 20:00:00+01', 11.40, 65.20, 0.00, 40.50, 13.10),
('2025-12-07 02:00:00+01', 7.40, 80.10, 0.00, 33.10, 11.50),
('2025-12-07 08:00:00+01', 9.50, 72.40, 0.40, 42.30, 15.20),
('2025-12-07 14:00:00+01', 16.10, 48.50, 4.20, 46.50, 19.40),
('2025-12-07 20:00:00+01', 12.30, 60.10, 0.00, 38.20, 14.20),
('2025-12-08 02:00:00+01', 8.20, 78.50, 0.00, 31.40, 10.80),
('2025-12-08 08:00:00+01', 10.10, 70.20, 0.20, 68.40, 22.50),
('2025-12-08 14:00:00+01', 13.40, 58.40, 2.10, 62.10, 28.30),
('2025-12-08 20:00:00+01', 9.80, 74.10, 0.00, 52.30, 20.10),
('2025-12-09 02:00:00+01', 7.50, 82.30, 0.00, 30.50, 15.20),
('2025-12-09 08:00:00+01', 8.40, 76.50, 0.10, 74.20, 30.40),
('2025-12-09 14:00:00+01', 11.20, 68.20, 1.20, 66.50, 35.20),
('2025-12-09 20:00:00+01', 8.10, 80.10, 0.00, 55.40, 22.80),
('2025-12-10 02:00:00+01', 5.20, 92.40, 0.00, 28.40, 11.50),
('2025-12-10 08:00:00+01', 6.40, 85.10, 0.10, 71.30, 25.10),
('2025-12-10 14:00:00+01', 10.50, 72.40, 1.80, 63.20, 29.50),
('2025-12-10 20:00:00+01', 7.80, 84.20, 0.00, 52.10, 18.40),
('2025-12-11 02:00:00+01', 4.10, 95.20, 0.00, 27.20, 10.20),
('2025-12-11 08:00:00+01', 5.50, 88.40, 0.10, 69.50, 21.40),
('2025-12-11 14:00:00+01', 12.40, 60.20, 3.50, 60.10, 24.50),
('2025-12-11 20:00:00+01', 8.30, 75.10, 0.00, 48.20, 16.20),
('2025-12-12 02:00:00+01', 3.20, 96.40, 0.00, 26.50, 9.50),
('2025-12-12 08:00:00+01', 4.80, 90.10, 0.10, 72.10, 28.10),
('2025-12-12 14:00:00+01', 10.20, 70.50, 2.20, 65.40, 32.40),
('2025-12-12 20:00:00+01', 6.10, 82.30, 0.00, 50.40, 19.10),
('2025-12-13 02:00:00+01', 5.50, 88.20, 0.00, 34.20, 12.40),
('2025-12-13 08:00:00+01', 7.40, 80.50, 0.20, 42.10, 15.80),
('2025-12-13 14:00:00+01', 14.10, 62.10, 3.10, 45.20, 18.20),
('2025-12-13 20:00:00+01', 10.20, 74.50, 0.00, 38.50, 14.10),
('2025-12-14 02:00:00+01', 8.20, 80.10, 0.00, 32.10, 11.20),
('2025-12-14 08:00:00+01', 10.50, 72.40, 0.30, 40.50, 14.50),
('2025-12-14 14:00:00+01', 15.80, 55.20, 3.80, 44.20, 17.80),
('2025-12-14 20:00:00+01', 11.40, 68.10, 0.00, 36.10, 12.50),
('2025-12-15 02:00:00+01', 7.10, 85.30, 0.00, 31.20, 10.10),
('2025-12-15 08:00:00+01', 9.20, 78.10, 0.20, 70.40, 25.40),
('2025-12-15 14:00:00+01', 13.10, 65.40, 2.50, 64.20, 30.20),
('2025-12-15 20:00:00+01', 9.50, 77.20, 0.00, 52.10, 18.50),
('2025-12-16 02:00:00+01', 6.40, 90.10, 0.00, 29.50, 12.10),
('2025-12-16 08:00:00+01', 8.10, 82.50, 0.10, 73.10, 28.40),
('2025-12-16 14:00:00+01', 12.50, 68.20, 2.10, 66.40, 34.20),
('2025-12-16 20:00:00+01', 8.80, 80.40, 0.00, 55.20, 20.40),
('2025-12-17 02:00:00+01', 5.20, 94.10, 0.00, 28.10, 11.20),
('2025-12-17 08:00:00+01', 7.30, 85.40, 0.10, 75.20, 30.10),
('2025-12-17 14:00:00+01', 11.40, 70.20, 1.80, 68.50, 38.50),
('2025-12-17 20:00:00+01', 8.50, 82.10, 0.00, 58.40, 25.10),
('2025-12-18 02:00:00+01', 4.80, 96.20, 0.00, 27.50, 10.50),
('2025-12-18 08:00:00+01', 6.90, 88.10, 0.20, 76.10, 32.40),
('2025-12-18 14:00:00+01', 12.20, 65.40, 2.40, 70.20, 42.10),
('2025-12-18 20:00:00+01', 8.10, 78.50, 0.00, 62.40, 28.50),
('2025-12-19 02:00:00+01', 5.50, 92.10, 0.00, 30.20, 11.80),
('2025-12-19 08:00:00+01', 7.10, 85.30, 0.10, 74.50, 35.10),
('2025-12-19 14:00:00+01', 13.40, 60.20, 2.90, 68.10, 38.40),
('2025-12-19 20:00:00+01', 9.20, 72.40, 0.00, 58.20, 26.20),
('2025-12-19 23:59:00+01', 7.50, 80.10, 0.00, 45.10, 18.50);
